,Session_ID,Clicks,Month,Day_Of_Month,Day_Of_Week,Time_Of_Day,BuyOrNot,MaxClicksItems,Distinct_Items,Session_Time,MaxTimeBtwClicks,AvgTimeBtwClicks
0,65,3,4.0,1.0,2.0,3.0,0,1,3,1.7225,1.35588333333,0.86125
1,70,6,4.0,5.0,6.0,2.0,0,2,4,18.3558166667,9.78763333333,3.67116333333
2,75,8,4.0,5.0,6.0,4.0,0,2,7,8.43418333333,3.3074,1.20488333333
3,80,3,4.0,3.0,4.0,1.0,0,2,2,2.92955,1.78985,1.464775
4,85,2,4.0,6.0,7.0,4.0,0,2,1,59.0814166667,59.0814166667,59.0814166667
5,90,5,4.0,6.0,7.0,2.0,0,5,1,62.3169,57.7889666667,15.579225
6,95,6,4.0,6.0,7.0,4.0,0,1,6,6.88583333333,3.44903333333,1.37716666667
7,100,2,4.0,2.0,3.0,4.0,0,1,2,7.54926666667,7.54926666667,7.54926666667
8,105,2,4.0,5.0,6.0,2.0,0,1,2,1.20171666667,1.20171666667,1.20171666667
9,110,3,4.0,5.0,6.0,3.0,0,1,3,2.09518333333,1.32833333333,1.04759166667
10,115,3,4.0,7.0,1.0,2.0,0,2,2,2.71096666667,1.87616666667,1.35548333333
11,120,3,4.0,5.0,6.0,4.0,0,2,2,6.00226666667,3.86385,3.00113333333
12,125,2,4.0,4.0,5.0,4.0,0,1,2,0.0527,0.0527,0.0527
13,130,2,4.0,4.0,5.0,2.0,0,1,2,1.16551666667,1.16551666667,1.16551666667
14,135,6,4.0,5.0,6.0,4.0,0,4,3,17.8632,10.67485,3.57264
15,140,2,4.0,5.0,6.0,1.0,0,1,2,1.74121666667,1.74121666667,1.74121666667
16,145,7,4.0,4.0,5.0,3.0,0,1,7,5.78166666667,2.23078333333,0.963611111111
17,150,4,4.0,4.0,5.0,2.0,0,1,4,0.85675,0.404316666667,0.285583333333
18,155,2,4.0,6.0,7.0,4.0,0,1,2,1.3859,1.3859,1.3859
19,160,2,4.0,7.0,1.0,2.0,0,1,2,0.5742,0.5742,0.5742
20,165,3,4.0,6.0,7.0,4.0,0,1,3,6.10016666667,5.40235,3.05008333333
21,170,4,4.0,1.0,2.0,3.0,0,1,4,1.1321,0.580216666667,0.377366666667
22,175,2,4.0,7.0,1.0,4.0,0,2,1,1.74868333333,1.74868333333,1.74868333333
23,180,2,4.0,2.0,3.0,4.0,0,1,2,0.878033333333,0.878033333333,0.878033333333
24,185,2,4.0,4.0,5.0,2.0,0,2,1,5.16115,5.16115,5.16115
25,190,2,4.0,4.0,5.0,3.0,0,1,2,0.7639,0.7639,0.7639
26,195,2,4.0,6.0,7.0,2.0,0,1,2,2.39613333333,2.39613333333,2.39613333333
27,200,4,4.0,7.0,1.0,2.0,0,1,4,9.24221666667,5.06365,3.08073888889
28,205,3,4.0,6.0,7.0,3.0,0,1,3,4.19658333333,3.15773333333,2.09829166667
29,210,3,4.0,7.0,1.0,3.0,0,1,3,2.61923333333,2.17146666667,1.30961666667
30,215,7,4.0,1.0,2.0,2.0,0,1,7,6.58141666667,2.249,1.09690277778
31,220,13,4.0,1.0,2.0,4.0,0,2,11,23.7508166667,5.73855,1.97923472222
32,225,3,4.0,3.0,4.0,4.0,0,1,3,5.72818333333,4.30933333333,2.86409166667
33,230,5,4.0,3.0,4.0,3.0,0,5,1,5.04966666667,2.79466666667,1.26241666667
34,235,6,4.0,5.0,6.0,4.0,0,1,6,1.95551666667,0.583816666667,0.391103333333
35,240,2,4.0,3.0,4.0,3.0,0,1,2,6.17613333333,6.17613333333,6.17613333333
36,245,7,4.0,4.0,5.0,4.0,0,3,5,6.98435,3.06641666667,1.16405833333
37,250,2,4.0,2.0,3.0,4.0,0,2,1,11.8556166667,11.8556166667,11.8556166667
38,255,2,4.0,3.0,4.0,2.0,0,1,2,6.40103333333,6.40103333333,6.40103333333
39,260,2,4.0,3.0,4.0,1.0,0,1,2,1.32205,1.32205,1.32205
40,265,2,4.0,4.0,5.0,4.0,0,2,1,3.49283333333,3.49283333333,3.49283333333
41,270,2,4.0,1.0,2.0,2.0,0,1,2,0.975266666667,0.975266666667,0.975266666667
42,275,4,4.0,1.0,2.0,2.0,0,4,1,11.7657833333,8.682,3.92192777778
43,280,4,4.0,7.0,1.0,2.0,0,4,1,0.4073,0.318166666667,0.135766666667
44,285,2,4.0,6.0,7.0,4.0,0,2,1,5.60781666667,5.60781666667,5.60781666667
45,290,2,4.0,3.0,4.0,3.0,0,1,2,0.721316666667,0.721316666667,0.721316666667
46,295,7,4.0,1.0,2.0,3.0,0,5,2,4.21376666667,1.24321666667,0.702294444444
47,300,2,4.0,2.0,3.0,2.0,0,1,2,0.470866666667,0.470866666667,0.470866666667
48,305,2,4.0,4.0,5.0,3.0,0,1,2,16.53275,16.53275,16.53275
49,310,7,4.0,3.0,4.0,1.0,0,3,3,2.04678333333,0.760766666667,0.341130555556
50,315,2,4.0,6.0,7.0,2.0,0,1,2,1.15135,1.15135,1.15135
51,320,2,4.0,2.0,3.0,4.0,0,2,1,0.0662666666667,0.0662666666667,0.0662666666667
52,325,1,4.0,7.0,1.0,3.0,0,1,1,0.0,,
53,330,3,4.0,3.0,4.0,3.0,0,2,2,0.472083333333,0.301383333333,0.236041666667
54,335,6,4.0,2.0,3.0,2.0,0,1,6,2.2288,0.98465,0.44576
55,340,1,4.0,6.0,7.0,3.0,0,1,1,0.0,,
56,345,6,4.0,2.0,3.0,2.0,0,3,4,2.50141666667,1.18083333333,0.500283333333
57,350,2,4.0,5.0,6.0,2.0,0,1,2,0.374966666667,0.374966666667,0.374966666667
58,355,1,4.0,6.0,7.0,3.0,0,1,1,0.0,,
59,360,2,4.0,3.0,4.0,3.0,0,1,2,3.61738333333,3.61738333333,3.61738333333
60,365,2,4.0,5.0,6.0,3.0,0,1,2,0.726566666667,0.726566666667,0.726566666667
61,370,5,4.0,6.0,7.0,4.0,0,2,3,2.94901666667,1.18813333333,0.737254166667
62,375,4,4.0,6.0,7.0,2.0,0,2,3,3.32645,1.39413333333,1.10881666667
