,Session_ID,Clicks,Month,Day_Of_Month,Day_Of_Week,Time_Of_Day,BuyOrNot
0,65,3,4.0,1.0,2.0,3.0,0.0
1,70,6,4.0,5.0,6.0,2.0,0.0
2,75,8,4.0,5.0,6.0,4.0,0.0
3,80,3,4.0,3.0,4.0,1.0,0.0
4,85,2,4.0,6.0,7.0,4.0,0.0
5,90,5,4.0,6.0,7.0,2.0,0.0
6,95,6,4.0,6.0,7.0,4.0,0.0
7,100,2,4.0,2.0,3.0,4.0,0.0
8,105,2,4.0,5.0,6.0,2.0,0.0
9,110,3,4.0,5.0,6.0,3.0,0.0
10,115,3,4.0,7.0,1.0,2.0,0.0
11,120,3,4.0,5.0,6.0,4.0,0.0
12,125,2,4.0,4.0,5.0,4.0,0.0
13,130,2,4.0,4.0,5.0,2.0,0.0
14,135,6,4.0,5.0,6.0,4.0,0.0
15,140,2,4.0,5.0,6.0,1.0,0.0
16,145,7,4.0,4.0,5.0,3.0,0.0
17,150,4,4.0,4.0,5.0,2.0,0.0
18,155,2,4.0,6.0,7.0,4.0,0.0
19,160,2,4.0,7.0,1.0,2.0,0.0
20,165,3,4.0,6.0,7.0,4.0,0.0
21,170,4,4.0,1.0,2.0,3.0,0.0
22,175,2,4.0,7.0,1.0,4.0,0.0
23,180,2,4.0,2.0,3.0,4.0,0.0
24,185,2,4.0,4.0,5.0,2.0,0.0
25,190,2,4.0,4.0,5.0,3.0,0.0
26,195,2,4.0,6.0,7.0,2.0,0.0
27,200,4,4.0,7.0,1.0,2.0,0.0
28,205,3,4.0,6.0,7.0,3.0,0.0
29,210,3,4.0,7.0,1.0,3.0,0.0
30,215,7,4.0,1.0,2.0,2.0,0.0
31,220,13,4.0,1.0,2.0,4.0,0.0
32,225,3,4.0,3.0,4.0,4.0,0.0
33,230,5,4.0,3.0,4.0,3.0,0.0
34,235,6,4.0,5.0,6.0,4.0,0.0
35,240,2,4.0,3.0,4.0,3.0,0.0
36,245,7,4.0,4.0,5.0,4.0,0.0
37,250,2,4.0,2.0,3.0,4.0,0.0
38,255,2,4.0,3.0,4.0,2.0,0.0
39,260,2,4.0,3.0,4.0,1.0,0.0
40,265,2,4.0,4.0,5.0,4.0,0.0
41,270,2,4.0,1.0,2.0,2.0,0.0
42,275,4,4.0,1.0,2.0,2.0,0.0
43,280,4,4.0,7.0,1.0,2.0,0.0
44,285,2,4.0,6.0,7.0,4.0,0.0
45,290,2,4.0,3.0,4.0,3.0,0.0
46,295,7,4.0,1.0,2.0,3.0,0.0
47,300,2,4.0,2.0,3.0,2.0,0.0
48,305,2,4.0,4.0,5.0,3.0,0.0
49,310,7,4.0,3.0,4.0,1.0,0.0
50,315,2,4.0,6.0,7.0,2.0,0.0
51,320,2,4.0,2.0,3.0,4.0,0.0
52,325,1,4.0,7.0,1.0,3.0,0.0
53,330,3,4.0,3.0,4.0,3.0,0.0
54,335,6,4.0,2.0,3.0,2.0,0.0
55,340,1,4.0,6.0,7.0,3.0,0.0
56,345,6,4.0,2.0,3.0,2.0,0.0
57,350,2,4.0,5.0,6.0,2.0,0.0
58,355,1,4.0,6.0,7.0,3.0,0.0
59,360,2,4.0,3.0,4.0,3.0,0.0
60,365,2,4.0,5.0,6.0,3.0,0.0
61,370,5,4.0,6.0,7.0,4.0,0.0
62,375,4,4.0,6.0,7.0,2.0,0.0
63,380,2,4.0,2.0,3.0,2.0,0.0
64,385,1,4.0,5.0,6.0,2.0,0.0
65,390,16,4.0,2.6875,3.6875,2.0,0.0
66,395,7,4.0,3.0,4.0,2.0,0.0
67,400,2,4.0,1.0,2.0,3.0,0.0
68,405,1,4.0,6.0,7.0,2.0,0.0
69,410,7,4.0,6.0,7.0,3.0,0.0
70,415,2,4.0,4.0,5.0,2.0,0.0
71,420,2,4.0,5.0,6.0,4.0,0.0
72,425,3,4.0,2.0,3.0,3.0,0.0
73,430,4,4.0,7.0,1.0,2.0,0.0
74,435,3,4.0,7.0,1.0,2.0,0.0
75,440,3,4.0,6.0,7.0,4.0,0.0
76,445,2,4.0,1.0,2.0,1.0,0.0
77,450,2,4.0,6.0,7.0,3.0,0.0
78,455,11,4.0,1.0,2.0,3.0,0.0
79,460,2,4.0,7.0,1.0,4.0,0.0
80,465,3,4.0,6.0,7.0,2.0,0.0
81,470,3,4.0,3.0,4.0,4.0,0.0
82,475,2,4.0,4.0,5.0,3.0,0.0
