,Session_ID,MaxClicksItems,Distinct_Items,Session_Time
0,65,1,3,1.7225
1,70,2,4,18.3558166667
2,75,2,7,8.43418333333
3,80,2,2,2.92955
4,85,2,1,59.0814166667
5,90,5,1,62.3169
6,95,1,6,6.88583333333
7,100,1,2,7.54926666667
8,105,1,2,1.20171666667
9,110,1,3,2.09518333333
10,115,2,2,2.71096666667
11,120,2,2,6.00226666667
12,125,1,2,0.0527
13,130,1,2,1.16551666667
14,135,4,3,17.8632
15,140,1,2,1.74121666667
16,145,1,7,5.78166666667
17,150,1,4,0.85675
18,155,1,2,1.3859
19,160,1,2,0.5742
20,165,1,3,6.10016666667
21,170,1,4,1.1321
22,175,2,1,1.74868333333
23,180,1,2,0.878033333333
24,185,2,1,5.16115
25,190,1,2,0.7639
26,195,1,2,2.39613333333
27,200,1,4,9.24221666667
28,205,1,3,4.19658333333
29,210,1,3,2.61923333333
30,215,1,7,6.58141666667
31,220,2,11,23.7508166667
32,225,1,3,5.72818333333
33,230,5,1,5.04966666667
34,235,1,6,1.95551666667
35,240,1,2,6.17613333333
36,245,3,5,6.98435
37,250,2,1,11.8556166667
38,255,1,2,6.40103333333
39,260,1,2,1.32205
40,265,2,1,3.49283333333
41,270,1,2,0.975266666667
42,275,4,1,11.7657833333
43,280,4,1,0.4073
44,285,2,1,5.60781666667
45,290,1,2,0.721316666667
46,295,5,2,4.21376666667
47,300,1,2,0.470866666667
48,305,1,2,16.53275
49,310,3,3,2.04678333333
50,315,1,2,1.15135
51,320,2,1,0.0662666666667
52,325,1,1,0.0
53,330,2,2,0.472083333333
54,335,1,6,2.2288
55,340,1,1,0.0
56,345,3,4,2.50141666667
57,350,1,2,0.374966666667
58,355,1,1,0.0
59,360,1,2,3.61738333333
60,365,1,2,0.726566666667
61,370,2,3,2.94901666667
62,375,2,3,3.32645
63,380,1,2,1.11981666667
64,385,1,1,0.0
65,390,16,1,172.86955
66,395,7,1,19.3975666667
67,400,2,1,0.0299
68,405,1,1,0.0
69,410,1,7,2.60471666667
70,415,2,1,0.237883333333
71,420,1,2,1.10698333333
72,425,2,2,1.2216
73,430,2,3,6.51515
74,435,3,1,6.04055
75,440,1,3,1.45468333333
76,445,1,2,0.977883333333
77,450,1,2,1.92905
78,455,2,9,8.71598333333
79,460,1,2,0.787566666667
80,465,1,3,2.68541666667
81,470,2,2,4.40908333333
82,475,1,2,1.70473333333
