,Session_ID,Item_ID,No_of_Appearances
0,70,214672841,1
1,70,214712272,1
2,70,214820252,2
3,70,214827022,2
4,75,214639841,1
5,75,214652255,2
6,75,214652437,1
7,75,214668575,1
8,75,214705003,1
9,75,214716984,1
10,75,214829428,1
11,85,214706452,2
12,90,214684513,5
13,135,214539834,1
14,135,214636505,4
15,135,214664767,1
16,220,214534704,1
17,220,214710309,1
18,220,214716939,1
19,220,214717005,1
20,220,214717007,2
21,220,214819378,2
22,220,214821022,1
23,220,214821371,1
24,220,214826715,1
25,220,214832653,1
26,220,214840378,1
27,230,214821020,5
28,245,214716928,1
29,245,214716937,1
30,245,214716939,1
31,245,214716973,3
32,245,214716977,1
33,275,214551911,4
34,280,214607212,4
35,295,214509000,5
36,295,214601049,2
37,310,214717888,3
38,310,214819552,2
39,310,214832557,2
40,345,214718169,1
41,345,214819427,1
42,345,214821022,3
43,345,214821024,1
44,390,214685805,16
45,395,214718203,7
46,435,214840412,3
47,455,214530457,1
48,455,214551890,2
49,455,214551894,2
50,455,214568090,1
51,455,214716973,1
52,455,214717007,1
53,455,214829741,1
54,455,214832653,1
55,455,214838368,1
