,Unnamed: 0,Session_ID,Item_ID,No_of_Appearances,I_Temp,S_Temp,Avg,ClicksPerAvg
0,0,70,214672841,1,4,6,1.5,0.666666666667
1,1,70,214712272,1,4,6,1.5,0.666666666667
2,2,70,214820252,2,4,6,1.5,1.33333333333
3,3,70,214827022,2,4,6,1.5,1.33333333333
4,4,75,214639841,1,7,8,1.14285714286,0.875
5,5,75,214652255,2,7,8,1.14285714286,1.75
6,6,75,214652437,1,7,8,1.14285714286,0.875
7,7,75,214668575,1,7,8,1.14285714286,0.875
8,8,75,214705003,1,7,8,1.14285714286,0.875
9,9,75,214716984,1,7,8,1.14285714286,0.875
10,10,75,214829428,1,7,8,1.14285714286,0.875
11,11,85,214706452,2,1,2,2.0,1.0
12,12,90,214684513,5,1,5,5.0,1.0
13,13,135,214539834,1,3,6,2.0,0.5
14,14,135,214636505,4,3,6,2.0,2.0
15,15,135,214664767,1,3,6,2.0,0.5
16,16,220,214534704,1,11,13,1.18181818182,0.846153846154
17,17,220,214710309,1,11,13,1.18181818182,0.846153846154
18,18,220,214716939,1,11,13,1.18181818182,0.846153846154
19,19,220,214717005,1,11,13,1.18181818182,0.846153846154
20,20,220,214717007,2,11,13,1.18181818182,1.69230769231
21,21,220,214819378,2,11,13,1.18181818182,1.69230769231
22,22,220,214821022,1,11,13,1.18181818182,0.846153846154
23,23,220,214821371,1,11,13,1.18181818182,0.846153846154
24,24,220,214826715,1,11,13,1.18181818182,0.846153846154
25,25,220,214832653,1,11,13,1.18181818182,0.846153846154
26,26,220,214840378,1,11,13,1.18181818182,0.846153846154
27,27,230,214821020,5,1,5,5.0,1.0
28,28,245,214716928,1,5,7,1.4,0.714285714286
29,29,245,214716937,1,5,7,1.4,0.714285714286
30,30,245,214716939,1,5,7,1.4,0.714285714286
31,31,245,214716973,3,5,7,1.4,2.14285714286
32,32,245,214716977,1,5,7,1.4,0.714285714286
33,33,275,214551911,4,1,4,4.0,1.0
34,34,280,214607212,4,1,4,4.0,1.0
35,35,295,214509000,5,2,7,3.5,1.42857142857
36,36,295,214601049,2,2,7,3.5,0.571428571429
37,37,310,214717888,3,3,7,2.33333333333,1.28571428571
38,38,310,214819552,2,3,7,2.33333333333,0.857142857143
39,39,310,214832557,2,3,7,2.33333333333,0.857142857143
40,40,345,214718169,1,4,6,1.5,0.666666666667
41,41,345,214819427,1,4,6,1.5,0.666666666667
42,42,345,214821022,3,4,6,1.5,2.0
43,43,345,214821024,1,4,6,1.5,0.666666666667
44,44,390,214685805,16,1,16,16.0,1.0
45,45,395,214718203,7,1,7,7.0,1.0
46,46,435,214840412,3,1,3,3.0,1.0
47,47,455,214530457,1,9,11,1.22222222222,0.818181818182
48,48,455,214551890,2,9,11,1.22222222222,1.63636363636
49,49,455,214551894,2,9,11,1.22222222222,1.63636363636
50,50,455,214568090,1,9,11,1.22222222222,0.818181818182
51,51,455,214716973,1,9,11,1.22222222222,0.818181818182
52,52,455,214717007,1,9,11,1.22222222222,0.818181818182
53,53,455,214829741,1,9,11,1.22222222222,0.818181818182
54,54,455,214832653,1,9,11,1.22222222222,0.818181818182
55,55,455,214838368,1,9,11,1.22222222222,0.818181818182
