,Session_ID,Item_ID,ItemPrediction
0,70,214672841,0
1,70,214712272,0
2,70,214820252,1
3,70,214827022,1
4,75,214639841,0
5,75,214652255,1
6,75,214652437,0
7,75,214668575,0
8,75,214705003,0
9,75,214716984,0
10,75,214829428,0
11,85,214706452,1
12,90,214684513,1
13,135,214539834,0
14,135,214636505,1
15,135,214664767,0
16,220,214534704,0
17,220,214710309,0
18,220,214716939,0
19,220,214717005,0
20,220,214717007,1
21,220,214819378,1
22,220,214821022,0
23,220,214821371,0
24,220,214826715,0
25,220,214832653,0
26,220,214840378,0
27,230,214821020,1
28,245,214716928,0
29,245,214716937,0
30,245,214716939,0
31,245,214716973,1
32,245,214716977,0
33,275,214551911,1
34,280,214607212,1
35,295,214509000,1
36,295,214601049,1
37,310,214717888,1
38,310,214819552,1
39,310,214832557,1
40,345,214718169,0
41,345,214819427,0
42,345,214821022,1
43,345,214821024,0
44,390,214685805,1
45,395,214718203,1
46,435,214840412,1
47,455,214530457,0
48,455,214551890,1
49,455,214551894,1
50,455,214568090,0
51,455,214716973,0
52,455,214717007,0
53,455,214829741,0
54,455,214832653,0
55,455,214838368,0
