,Session_ID,Item_ID,Unnamed: 0.1,Index,FirstClick,LastClick,TimeFirstLast
0,70,214672841,3,52,0,0,0.0
1,70,214712272,1,50,0,0,0.0
2,70,214820252,5,54,0,1,1.17923333333
3,70,214827022,2,51,1,0,3.3679
4,75,214639841,15,64,0,0,0.0
5,75,214652255,11,60,1,0,0.8775
6,75,214652437,13,62,0,0,0.0
7,75,214668575,14,63,0,0,0.0
8,75,214705003,10,59,0,0,0.0
9,75,214716984,16,65,0,1,0.0
10,75,214829428,12,61,0,0,0.0
11,85,214706452,18,67,1,1,59.0814166667
12,90,214684513,32,81,1,1,62.3169
13,135,214539834,52,101,1,0,0.0
14,135,214636505,57,106,0,1,7.18835
15,135,214664767,55,104,0,0,0.0
16,220,214534704,98,147,0,0,0.0
17,220,214710309,104,153,0,0,0.0
18,220,214716939,109,158,0,1,0.0
19,220,214717005,107,156,0,0,0.0
20,220,214717007,108,157,0,0,1.748
21,220,214819378,100,149,0,0,2.13896666667
22,220,214821022,101,150,0,0,0.0
23,220,214821371,97,146,1,0,0.0
24,220,214826715,102,151,0,0,0.0
25,220,214832653,105,154,0,0,0.0
26,220,214840378,103,152,0,0,0.0
27,230,214821020,130,179,1,1,5.04966666667
28,245,214716928,144,193,0,1,0.0
29,245,214716937,139,188,0,0,0.0
30,245,214716939,140,189,0,0,0.0
31,245,214716973,143,192,1,0,3.91793333333
32,245,214716977,141,190,0,0,0.0
33,275,214551911,150,199,1,1,11.7657833333
34,280,214607212,154,203,1,1,0.4073
35,295,214509000,182,231,1,1,4.21376666667
36,295,214601049,179,228,0,0,0.597966666667
37,310,214717888,171,220,0,1,1.21705
38,310,214819552,166,215,1,0,0.760766666667
39,310,214832557,170,219,0,0,0.861283333333
40,345,214718169,192,241,0,0,0.0
41,345,214819427,188,237,1,0,0.0
42,345,214821022,193,242,0,1,1.32058333333
43,345,214821024,190,239,0,0,0.0
44,390,214685805,257,306,1,1,172.86955
45,395,214718203,240,289,1,1,19.3975666667
46,435,214840412,265,314,1,1,6.04055
47,455,214530457,295,344,0,1,0.0
48,455,214551890,290,339,1,0,2.24666666667
49,455,214551894,288,337,0,0,0.290916666667
50,455,214568090,286,335,0,0,0.0
51,455,214716973,293,342,0,0,0.0
52,455,214717007,291,340,0,0,0.0
53,455,214829741,289,338,0,0,0.0
54,455,214832653,292,341,0,0,0.0
55,455,214838368,294,343,0,0,0.0
