,Unnamed: 0_x,Session_ID,Item_ID,Unnamed: 0.1_x,Index,FirstClick,LastClick,TimeFirstLast,Unnamed: 0_y,TotalTimeItem,Unnamed: 0_x,Timestamp,MaxClicks,RelativeClicks,Unnamed: 0_y,No_of_Appearances_x,Unnamed: 0_x,Unnamed: 0.1_y,No_of_Appearances_y,Max_Click_Session,Relative_Clicks,Unnamed: 0_y,Unnamed: 0.1,No_of_Appearances,I_Temp,S_Temp,Avg,ClicksPerAvg
0,0,70,214672841,3,52,0,0,0.0,0,0.0,0,1,2,0.5,0,1,0,0,1,2,0.5,0,0,1,4,6,1.5,0.666666666667
1,1,70,214712272,1,50,0,0,0.0,1,0.0,1,1,2,0.5,1,1,1,1,1,2,0.5,1,1,1,4,6,1.5,0.666666666667
2,2,70,214820252,5,54,0,1,1.17923333333,2,0.0,2,2,2,1.0,2,2,2,2,2,2,1.0,2,2,2,4,6,1.5,1.33333333333
3,3,70,214827022,2,51,1,0,3.3679,3,0.0,3,2,2,1.0,3,2,3,3,2,2,1.0,3,3,2,4,6,1.5,1.33333333333
4,4,75,214639841,15,64,0,0,0.0,4,0.0,4,1,2,0.5,4,1,4,4,1,2,0.5,4,4,1,7,8,1.14285714286,0.875
5,5,75,214652255,11,60,1,0,0.8775,5,0.0,5,2,2,1.0,5,2,5,5,2,2,1.0,5,5,2,7,8,1.14285714286,1.75
6,6,75,214652437,13,62,0,0,0.0,6,0.0,6,1,2,0.5,6,1,6,6,1,2,0.5,6,6,1,7,8,1.14285714286,0.875
7,7,75,214668575,14,63,0,0,0.0,7,0.0,7,1,2,0.5,7,1,7,7,1,2,0.5,7,7,1,7,8,1.14285714286,0.875
8,8,75,214705003,10,59,0,0,0.0,8,0.0,8,1,2,0.5,8,1,8,8,1,2,0.5,8,8,1,7,8,1.14285714286,0.875
9,9,75,214716984,16,65,0,1,0.0,9,0.0,9,1,2,0.5,9,1,9,9,1,2,0.5,9,9,1,7,8,1.14285714286,0.875
10,10,75,214829428,12,61,0,0,0.0,10,0.0,10,1,2,0.5,10,1,10,10,1,2,0.5,10,10,1,7,8,1.14285714286,0.875
11,11,85,214706452,18,67,1,1,59.0814166667,11,0.0,11,2,2,1.0,11,2,11,11,2,2,1.0,11,11,2,1,2,2.0,1.0
12,12,90,214684513,32,81,1,1,62.3169,12,0.0,12,5,5,1.0,12,5,12,12,5,5,1.0,12,12,5,1,5,5.0,1.0
13,13,135,214539834,52,101,1,0,0.0,13,0.0,13,1,4,0.25,13,1,13,13,1,4,0.25,13,13,1,3,6,2.0,0.5
14,14,135,214636505,57,106,0,1,7.18835,14,0.0,14,4,4,1.0,14,4,14,14,4,4,1.0,14,14,4,3,6,2.0,2.0
15,15,135,214664767,55,104,0,0,0.0,15,0.0,15,1,4,0.25,15,1,15,15,1,4,0.25,15,15,1,3,6,2.0,0.5
16,16,220,214534704,98,147,0,0,0.0,16,0.0,16,1,2,0.5,16,1,16,16,1,2,0.5,16,16,1,11,13,1.18181818182,0.846153846154
17,17,220,214710309,104,153,0,0,0.0,17,0.0,17,1,2,0.5,17,1,17,17,1,2,0.5,17,17,1,11,13,1.18181818182,0.846153846154
